community_id,node_label,preferredName,queryItem,stringId
1,DEF1,DEF1,DEF1,4932.YKL054C
1,DER1,DER1,DER1,4932.YBR201W
1,DIG1,DIG1,DIG1,4932.YPL049C
1,DIG2,DIG2,DIG2,4932.YDR480W
1,DLS1,DLS1,DLS1,4932.YJL065C
1,DNL4,DNL4,DNL4,4932.YOR005C
1,DOC1,DOC1,DOC1,4932.YGL240W
1,DPB11,DPB11,DPB11,4932.YJL090C
1,DPB2,DPB2,DPB2,4932.YPR175W
1,DPB3,DPB3,DPB3,4932.YBR278W
1,DPB4,DPB4,DPB4,4932.YDR121W
1,DSL1,DSL1,DSL1,4932.YNL258C
1,DSN1,DSN1,DSN1,4932.YIR010W
1,DYN1,DYN1,DYN1,4932.YKR054C
1,DYN2,DYN2,DYN2,4932.YDR424C
1,DYN3,DYN3,DYN3,4932.YMR299C
1,EAF1,EAF1,EAF1,4932.YDR359C
1,EAF3,EAF3,EAF3,4932.YPR023C
1,EAF5,EAF5,EAF5,4932.YEL018W
1,EAF6,EAF6,EAF6,4932.YJR082C
1,EAF7,EAF7,EAF7,4932.YNL136W
1,ELC1,ELC1,ELC1,4932.YPL046C
1,ELG1,ELG1,ELG1,4932.YOR144C
1,ELP2,ELP2,ELP2,4932.YGR200C
1,ELP3,ELP3,ELP3,4932.YPL086C
1,ELP4,ELP4,ELP4,4932.YPL101W
1,ELP6,ELP6,ELP6,4932.YMR312W
1,END3,END3,END3,4932.YNL084C
1,EPL1,EPL1,EPL1,4932.YFL024C
1,ERV41,ERV41,ERV41,4932.YML067C
1,ERV46,ERV46,ERV46,4932.YAL042W
1,ESA1,ESA1,ESA1,4932.YOR244W
1,ESP1,ESP1,ESP1,4932.YGR098C
1,EST1,EST1,EST1,4932.YLR233C
1,EST2,EST2,EST2,4932.YLR318W
1,EST3,EST3,EST3,4932.YIL009C-A
1,EXO70,EXO70,EXO70,4932.YJL085W
1,EXO84,EXO84,EXO84,4932.YBR102C
1,FAR1,FAR1,FAR1,4932.YJL157C
1,FUS3,FUS3,FUS3,4932.YBL016W
1,GAL11,GAL11,GAL11,4932.YOL051W
