node_A,node_B,score
AME1,HHF1,0.94
AME1,HTA1,0.924
AME1,MCM16,0.996
AME1,MCM21,0.999
AME1,MCM22,0.996
AME1,MTW1,0.983
AME1,NNF1,0.977
AME1,NSL1,0.945
AME1,OKP1,0.999
AME1,SPC24,0.918
ANP1,HOC1,0.999
ANP1,MNN10,0.999
ANP1,MNN11,0.999
ANP1,MNN9,0.998
ANP1,PMT1,0.91
ANP1,PMT2,0.935
ANP1,PMT3,0.9
ANP1,PMT5,0.907
ANP1,VAN1,0.964
AOS1,MMS21,0.92
AOS1,UBA2,0.999
APC1,APC11,0.999
APC1,APC2,0.999
APC1,APC4,0.999
APC1,APC5,0.999
APC1,APC9,0.999
APC1,BUB1,0.935
APC1,CDC16,0.999
APC1,CDC20,0.975
APC1,CDC23,0.999
APC1,CDC26,0.999
APC1,CDC27,0.999
APC1,CDC28,0.996
APC1,CDC4,0.918
APC1,CDH1,0.999
APC1,DOC1,0.999
APC1,MAD2,0.989
APC1,MAD3,0.982
APC1,MND2,0.999
APC1,PDS1,0.945
APC1,PPH21,0.998
APC1,SLX5,0.9
APC1,SLX8,0.9
APC1,SWM1,0.999
APC11,APC2,0.999
APC11,APC4,0.999
APC11,APC5,0.999
APC11,APC9,0.999
APC11,BUB3,0.924
APC11,CDC16,0.999
APC11,CDC20,0.984
APC11,CDC23,0.999
APC11,CDC26,0.999
APC11,CDC27,0.999
APC11,CDC4,0.909
APC11,CDH1,0.994
APC11,DOC1,0.999
APC11,MAD3,0.933
APC11,MND2,0.999
APC11,PDS1,0.926
APC11,SLX5,0.9
APC11,SLX8,0.9
APC11,SWM1,0.999
APC2,APC4,0.999
APC2,APC5,0.999
APC2,APC9,0.999
APC2,BUB1,0.925
APC2,CDC16,0.999
APC2,CDC20,0.966
APC2,CDC23,0.999
APC2,CDC26,0.999
APC2,CDC27,0.999
APC2,CDC4,0.9
APC2,CDH1,0.995
APC2,DOC1,0.999
APC2,MAD2,0.945
APC2,MAD3,0.974
APC2,MND2,0.999
APC2,PDS1,0.949
APC2,RPS31,0.9
APC2,SLX5,0.9
APC2,SLX8,0.9
APC2,SWM1,0.999
APC4,APC5,0.999
APC4,APC9,0.999
APC4,BUB1,0.924
APC4,BUB3,0.988
APC4,CDC16,0.999
APC4,CDC20,0.984
APC4,CDC23,0.999
APC4,CDC26,0.999
APC4,CDC27,0.999
APC4,CDC4,0.901
APC4,CDH1,0.998
APC4,DOC1,0.999
APC4,MAD2,0.99
APC4,MAD3,0.974
APC4,MND2,0.999
APC4,PDS1,0.911
APC4,SLX5,0.9
APC4,SLX8,0.9
APC4,SWM1,0.999
APC5,APC9,0.999
APC5,BUB1,0.936
APC5,BUB3,0.975
APC5,CDC16,0.999
APC5,CDC20,0.995
APC5,CDC23,0.999
APC5,CDC26,0.999
APC5,CDC27,0.999
APC5,CDC4,0.901
APC5,CDH1,0.997
APC5,DOC1,0.999
APC5,MAD3,0.971
APC5,MND2,0.999
APC5,PDS1,0.952
APC5,SLX5,0.9
APC5,SLX8,0.9
APC5,SWM1,0.999
APC9,CDC16,0.999
APC9,CDC20,0.999
APC9,CDC23,0.999
APC9,CDC26,0.999
APC9,CDC27,0.999
APC9,CDC28,0.997
APC9,CDC4,0.9
APC9,CDH1,0.987
APC9,DOC1,0.999
APC9,MND2,0.999
APC9,PDS1,0.946
APC9,PPH21,0.994
APC9,SLX5,0.9
APC9,SLX8,0.901
APC9,SWM1,0.999
APL1,APL2,0.947
APL1,APL3,0.999
APL1,APL4,0.998
APL1,APL5,0.968
APL1,APM1,0.992
APL1,APM2,0.912
APL1,APM3,0.913
APL1,APM4,0.999
APL1,APS1,0.992
APL1,APS2,0.998
APL1,CHC1,0.997
APL1,CLC1,0.962
APL2,APL3,0.977
APL2,APL4,0.999
APL2,APL5,0.965
APL2,APM1,0.999
APL2,APM2,0.999
APL2,APM3,0.911
APL2,APM4,0.99
APL2,APS1,0.999
APL2,APS2,0.995
APL2,ARF1,0.91
APL2,CHC1,0.999
APL2,CLC1,0.977
APL3,APL5,0.923
APL3,APL6,0.926
APL3,APM1,0.938
APL3,APM4,0.999
APL3,APS1,0.971
APL3,APS2,0.999
APL3,CHC1,0.987
APL3,CLC1,0.975
APL3,PAN1,0.962
APL4,APL6,0.951
APL4,APM1,0.999
APL4,APM2,0.985
APL4,APM3,0.971
APL4,APM4,0.938
APL4,APS1,0.999
APL4,APS2,0.983
APL4,APS3,0.958
APL4,ARF1,0.974
APL4,CHC1,0.996
APL4,CLC1,0.961
APL5,APL6,0.999
APL5,APM1,0.933
APL5,APM2,0.904
APL5,APM3,0.999
APL5,APM4,0.944
APL5,APS1,0.971
APL5,APS2,0.95
APL5,APS3,0.999
APL5,VPS41,0.957
APL6,APM3,0.999
APL6,APS3,0.999
APM1,APM3,0.927
APM1,APS1,0.999
APM1,APS2,0.957
APM1,CHC1,0.965
APM1,CLC1,0.976
APM2,APS1,0.999
APM3,APS1,0.928
APM3,APS2,0.924
APM3,APS3,0.999
APM4,APS2,0.999
APM4,CHC1,0.942
APS1,APS2,0.924
APS1,CHC1,0.971
APS1,CLC1,0.951
APS2,CHC1,0.979
APS2,CLC1,0.963
ARC1,GUS1,0.999
ARC1,MES1,0.999
ARC1,NAM2,0.928
ARC15,ARC18,0.999
ARC15,ARC19,0.999
ARC15,ARC35,0.999
ARC15,ARC40,0.999
ARC15,ARP2,0.999
ARC15,ARP3,0.999
ARC18,ARC19,0.999
ARC18,ARC35,0.999
ARC18,ARC40,0.999
ARC18,ARP2,0.999
ARC18,ARP3,0.999
ARC19,ARC35,0.999
ARC19,ARC40,0.999
ARC19,ARP2,0.999
ARC19,ARP3,0.999
ARC19,SLX1,0.968
ARC35,ARC40,0.999
ARC35,ARP2,0.999
ARC35,ARP3,0.999
ARC35,STE4,0.921
ARC40,ARP2,0.999
ARC40,ARP3,0.999
ARD1,MAK10,0.987
ARD1,MAK3,0.999
ARD1,MAK31,0.961
ARD1,MDM20,0.991
ARD1,NAT1,0.999
ARD1,NAT3,0.963
ARD1,NAT5,0.999
ARD1,RPL25,0.929
ARD1,RPL3,0.903
ARD1,RPL31A,0.929
ARF1,BCH1,0.995
ARF1,BCH2,0.957
ARF1,BUD7,0.948
ARF1,CHC1,0.905
ARF1,CHS5,0.997
ARF1,CHS6,0.959
ARF1,COP1,0.971
ARF1,GLO3,0.997
ARF1,RET2,0.969
ARF1,RET3,0.956
ARF1,SEC21,0.996
ARF1,SEC26,0.993
ARF1,SEC27,0.963
ARF1,SEC28,0.978
ARG2,ARG3,0.911
ARG2,"ARG5,6",0.999
ARG3,"ARG5,6",0.999
ARG3,CAR1,0.997
ARG3,CPA1,0.984
ARG3,CPA2,0.996
"ARG5,6",CAR1,0.917
"ARG5,6",CPA1,0.978
"ARG5,6",CPA2,0.983
"ARG5,6",DUG1,0.904
"ARG5,6",DUG2,0.904
ARG80,ARG81,0.999
ARG80,ARG82,0.999
ARG80,MCM1,0.934
ARG81,ARG82,0.996
ARG81,MCM1,0.997
ARG82,MCM1,0.997
ARP1,ARP10,0.996
ARP1,ARP2,0.923
ARP1,ARP3,0.923
ARP1,ARP4,0.936
ARP1,DYN1,0.96
ARP1,JNM1,0.999
ARP1,NIP100,0.998
ARP1,SRV2,0.91
ARP10,ARP3,0.9
ARP10,ARP4,0.952
ARP10,JNM1,0.998
ARP10,NIP100,0.97
ARP2,ARP3,0.999
ARP2,PAN1,0.972
ARP3,PAN1,0.92
ARP4,ARP5,0.997
ARP4,ARP6,0.962
ARP4,ARP8,0.999
ARP4,ARP9,0.944
ARP4,EAF1,0.999
ARP4,EAF3,0.995
ARP4,EAF5,0.998
ARP4,EAF6,0.998
ARP4,EAF7,0.993
ARP4,EPL1,0.999
ARP4,ESA1,0.999
ARP4,HHF1,0.953
ARP4,HHT1,0.967
ARP4,HTA2,0.942
ARP4,HTZ1,0.946
ARP4,IES1,0.99
ARP4,IES3,0.991
ARP4,IES4,0.999
ARP4,INO80,0.999
ARP4,NHP10,0.997
ARP4,RSC6,0.95
ARP4,RSC8,0.947
ARP4,RVB1,0.999
ARP4,RVB2,0.999
ARP4,SAS2,0.941
ARP4,SAS4,0.907
ARP4,SAS5,0.925
ARP4,SFH1,0.946
ARP4,SNF12,0.95
ARP4,SNF2,0.979
ARP4,SNF5,0.973
ARP4,STH1,0.935
ARP4,SWC3,0.982
ARP4,SWC4,0.999
ARP4,SWC5,0.989
ARP4,SWC7,0.968
ARP4,SWI3,0.964
ARP4,SWR1,0.999
ARP4,TAF14,0.993
ARP4,TRA1,0.999
ARP4,VPS71,0.994
ARP4,VPS72,0.994
ARP4,YAF9,0.998
ARP4,YNG2,0.999
ARP5,ARP6,0.921
ARP5,ARP8,0.998
ARP5,DAD2,0.901
ARP5,DAD3,0.944
ARP5,HTB1,0.917
ARP5,IES1,0.995
ARP5,IES3,0.989
ARP5,IES4,0.969
ARP5,INO80,0.997
ARP5,MRPL11,0.903
ARP5,NHP10,0.992
ARP5,RVB1,0.999
ARP5,RVB2,0.999
ARP5,SWC3,0.904
ARP5,SWC4,0.901
ARP5,SWC5,0.903
ARP5,SWC7,0.901
ARP5,SWR1,0.952
ARP5,TAF14,0.979
ARP5,VPS71,0.9
ARP5,VPS72,0.917
ARP5,YAF9,0.925
ARP6,HHF1,0.928
ARP6,HHT1,0.922
ARP6,HTA1,0.933
ARP6,HTB1,0.938
ARP6,HTZ1,0.982
ARP6,IES1,0.905
ARP6,IES3,0.92
ARP6,IES4,0.9
ARP6,INO80,0.924
ARP6,NHP10,0.937
ARP6,RVB1,0.999
ARP6,RVB2,0.999
ARP6,SWC3,0.986
ARP6,SWC4,0.994
ARP6,SWC5,0.997
ARP6,SWC7,0.985
ARP6,SWR1,0.999
ARP6,TAF14,0.938
ARP6,VPS71,0.999
ARP6,VPS72,0.999
ARP6,YAF9,0.995
ARP7,ARP9,0.999
ARP7,HHF1,0.906
ARP7,HHT1,0.972
ARP7,HHT2,0.937
ARP7,HTL1,0.996
ARP7,LDB7,0.992
ARP7,NPL6,0.999
ARP7,RSC1,0.997
ARP7,RSC2,0.999
ARP7,RSC3,0.999
ARP7,RSC30,0.995
ARP7,RSC4,0.999
ARP7,RSC58,0.999
ARP7,RSC6,0.999
ARP7,RSC8,0.999
ARP7,RSC9,0.999
ARP7,RTT102,0.999
ARP7,RVB1,0.939
ARP7,RVB2,0.967
ARP7,SFH1,0.998
ARP7,SNF11,0.995
ARP7,SNF12,0.999
ARP7,SNF2,0.999
ARP7,SNF5,0.999
ARP7,SNF6,0.999
ARP7,STH1,0.999
ARP7,SWI1,0.999
ARP7,SWI3,0.999
ARP7,SWP82,0.999
ARP7,TAF14,0.998
ARP8,IES1,0.987
ARP8,IES3,0.989
ARP8,IES4,0.998
ARP8,INO80,0.998
ARP8,NHP10,0.989
ARP8,RVB1,0.989
ARP8,RVB2,0.991
ARP8,SWR1,0.948
ARP8,TAF14,0.972
ARP9,HHF1,0.95
ARP9,HHT1,0.948
ARP9,HTL1,0.997
ARP9,LDB7,0.995
ARP9,NPL6,0.999
ARP9,RSC1,0.998
ARP9,RSC2,0.999
ARP9,RSC3,0.999
ARP9,RSC30,0.995
ARP9,RSC4,0.999
ARP9,RSC58,0.999
ARP9,RSC6,0.999
ARP9,RSC8,0.999
ARP9,RSC9,0.999
ARP9,RTT102,0.999
ARP9,SFH1,0.997
ARP9,SNF11,0.987
ARP9,SNF12,0.999
ARP9,SNF2,0.999
ARP9,SNF5,0.999
ARP9,SNF6,0.999
ARP9,STH1,0.999
ARP9,SWI1,0.999
ARP9,SWI3,0.999
ARP9,SWP82,0.999
ARP9,TAF14,0.994
ASC1,CAM1,0.962
ASC1,CDC33,0.933
ASC1,EFB1,0.983
ASC1,EGD2,0.915
ASC1,ERV25,0.906
ASC1,GCD11,0.988
ASC1,GCN1,0.937
ASC1,GUS1,0.902
ASC1,HCR1,0.993
ASC1,LST8,0.908
ASC1,LTV1,0.999
ASC1,MRP2,0.947
ASC1,MRP4,0.968
ASC1,MRPL1,0.964
ASC1,MRPL10,0.974
ASC1,MRPL19,0.93
ASC1,MRPL22,0.95
ASC1,MRPL23,0.96
ASC1,MRPL38,0.965
ASC1,MRPL6,0.962
ASC1,MRPL7,0.975
ASC1,MRPL9,0.974
ASC1,MRPS17,0.965
ASC1,MRPS18,0.973
ASC1,MRPS28,0.973
ASC1,MRPS5,0.982
ASC1,MRPS8,0.948
ASC1,NAM9,0.955
ASC1,NIP1,0.999
ASC1,PRT1,0.999
ASC1,RML2,0.963
ASC1,RPG1,0.998
ASC1,RPL10,0.999
ASC1,RPL11A,0.999
ASC1,RPL11B,0.999
ASC1,RPL12A,0.998
ASC1,RPL12B,0.999
ASC1,RPL13A,0.999
ASC1,RPL13B,0.996
ASC1,RPL14A,0.999
ASC1,RPL14B,0.985
ASC1,RPL15A,0.999
ASC1,RPL15B,0.98
ASC1,RPL16A,0.999
ASC1,RPL16B,0.996
ASC1,RPL17A,0.999
ASC1,RPL17B,0.991
ASC1,RPL18A,0.998
ASC1,RPL18B,0.999
ASC1,RPL19A,0.997
ASC1,RPL19B,0.999
ASC1,RPL1A,0.998
ASC1,RPL1B,0.999
ASC1,RPL20A,0.999
ASC1,RPL20B,0.998
ASC1,RPL21A,0.999
ASC1,RPL21B,0.994
ASC1,RPL22A,0.999
ASC1,RPL22B,0.985
ASC1,RPL23A,0.999
ASC1,RPL23B,0.998
ASC1,RPL24A,0.999
ASC1,RPL24B,0.997
ASC1,RPL25,0.999
ASC1,RPL26A,0.999
ASC1,RPL26B,0.99
ASC1,RPL27A,0.999
ASC1,RPL27B,0.99
ASC1,RPL28,0.999
ASC1,RPL29,0.999
ASC1,RPL2A,0.999
ASC1,RPL2B,0.998
ASC1,RPL3,0.999
ASC1,RPL30,0.999
ASC1,RPL31A,0.999
ASC1,RPL31B,0.984
ASC1,RPL32,0.999
ASC1,RPL33A,0.999
ASC1,RPL33B,0.989
ASC1,RPL34A,0.999
ASC1,RPL34B,0.987
ASC1,RPL35A,0.997
ASC1,RPL35B,0.999
ASC1,RPL36A,0.999
ASC1,RPL36B,0.983
ASC1,RPL37A,0.999
ASC1,RPL37B,0.983
ASC1,RPL38,0.999
ASC1,RPL39,0.999
ASC1,RPL40A,0.999
ASC1,RPL40B,0.995
ASC1,RPL41A,0.909
ASC1,RPL41B,0.984
ASC1,RPL42A,0.99
ASC1,RPL42B,0.999
ASC1,RPL43A,0.996
ASC1,RPL43B,0.999
ASC1,RPL4A,0.999
ASC1,RPL4B,0.998
ASC1,RPL5,0.999
ASC1,RPL6A,0.999
ASC1,RPL6B,0.998
ASC1,RPL7A,0.999
ASC1,RPL7B,0.997
ASC1,RPL8A,0.999
ASC1,RPL8B,0.994
ASC1,RPL9A,0.999
ASC1,RPL9B,0.998
ASC1,RPP0,0.999
ASC1,RPP1A,0.999
ASC1,RPP1B,0.968
ASC1,RPP2A,0.997
ASC1,RPP2B,0.988
ASC1,RPS0A,0.999
ASC1,RPS0B,0.999
ASC1,RPS10A,0.999
ASC1,RPS10B,0.999
ASC1,RPS11A,0.999
ASC1,RPS11B,0.999
ASC1,RPS12,0.999
ASC1,RPS13,0.999
ASC1,RPS14A,0.999
ASC1,RPS14B,0.999
ASC1,RPS15,0.999
ASC1,RPS16A,0.999
ASC1,RPS16B,0.999
ASC1,RPS17A,0.999
ASC1,RPS17B,0.999
ASC1,RPS18A,0.999
ASC1,RPS18B,0.999
ASC1,RPS19A,0.999
ASC1,RPS19B,0.999
ASC1,RPS1A,0.999
ASC1,RPS1B,0.999
ASC1,RPS2,0.999
ASC1,RPS20,0.999
ASC1,RPS21A,0.999
ASC1,RPS21B,0.999
ASC1,RPS22A,0.999
ASC1,RPS22B,0.998
ASC1,RPS23A,0.999
ASC1,RPS23B,0.999
ASC1,RPS24A,0.999
ASC1,RPS24B,0.999
ASC1,RPS25A,0.999
ASC1,RPS25B,0.999
ASC1,RPS26A,0.999
ASC1,RPS26B,0.999
ASC1,RPS27A,0.999
ASC1,RPS27B,0.999
ASC1,RPS28A,0.999
ASC1,RPS28B,0.999
ASC1,RPS29A,0.999
ASC1,RPS29B,0.999
ASC1,RPS3,0.999
ASC1,RPS30A,0.999
ASC1,RPS30B,0.999
ASC1,RPS31,0.999
ASC1,RPS4A,0.999
ASC1,RPS4B,0.999
ASC1,RPS5,0.999
ASC1,RPS6A,0.999
ASC1,RPS6B,0.999
ASC1,RPS7A,0.999
ASC1,RPS7B,0.999
ASC1,RPS8A,0.999
ASC1,RPS8B,0.999
ASC1,RPS9A,0.999
ASC1,RPS9B,0.999
ASC1,RRN7,0.935
ASC1,RSM10,0.971
ASC1,RSM7,0.974
ASC1,SKI2,0.972
ASC1,SKI3,0.926
ASC1,SKI8,0.944
ASC1,SNU13,0.929
ASC1,SUI1,0.987
ASC1,SUI2,0.992
ASC1,SUI3,0.975
ASC1,SWS2,0.965
ASC1,TEF4,0.98
ASC1,TIF1,0.927
ASC1,TIF11,0.995
ASC1,TIF34,0.998
ASC1,TIF35,0.99
ASC1,TIF5,0.974
ASF1,CAC2,0.999
ASF1,GCN5,0.957
ASF1,HAT1,0.978
ASF1,HHF1,0.999
ASF1,HHF2,0.999
ASF1,HHT1,0.999
ASF1,HHT2,0.999
ASF1,HIF1,0.996
ASF1,HIR1,0.999
ASF1,HIR2,0.999
ASF1,HIR3,0.995
ASF1,HPC2,0.992
ASF1,HTZ1,0.971
ASF1,MCM2,0.99
ASF1,MSI1,0.951
ASF1,RAD53,0.999
ASF1,RLF2,0.994
ASF1,RTT109,0.999
ASF1,SAS2,0.949
ASF1,SAS4,0.946
ASF1,VPS75,0.991
ASH1,CTI6,0.969
ASH1,DEP1,0.972
ASH1,EAF3,0.925
ASH1,PHO23,0.981
ASH1,RCO1,0.925
ASH1,RPD3,0.989
ASH1,RXT2,0.984
ASH1,RXT3,0.941
ASH1,SAP30,0.929
ASH1,SDS3,0.973
ASH1,SIN3,0.983
ASH1,UME1,0.979
ASH1,UME6,0.95
ASK1,DAD1,0.999
ASK1,DAD2,0.999
ASK1,DAD3,0.999
ASK1,DAD4,0.998
ASK1,DAM1,0.999
ASK1,DSN1,0.971
ASK1,DUO1,0.998
ASK1,HSK3,0.997
ASK1,NDC80,0.924
ASK1,SPC19,0.999
ASK1,SPC24,0.931
ASK1,SPC34,0.999
ASK1,SPC97,0.982
ASK1,SPC98,0.982
ASK1,TUB4,0.963
ASM4,NIC96,0.991
ASM4,NSP1,0.997
ASM4,NUP120,0.947
ASM4,NUP145,0.995
ASM4,NUP159,0.998
ASM4,NUP170,0.999
ASM4,NUP49,0.997
ASM4,NUP53,0.999
ASM4,NUP57,0.998
ASM4,NUP82,0.969
ASM4,NUP84,0.96
ASM4,NUP85,0.986
ASM4,SEC13,0.92
ASM4,SEH1,0.952
ATG12,ATG16,0.999
ATG12,ATG5,0.999
ATG12,VPS15,0.982
ATG12,VPS30,0.995
ATG12,VPS34,0.987
ATG14,FIG4,0.9
ATG14,VAC14,0.9
ATG14,VPS15,0.999
ATG14,VPS30,0.999
ATG14,VPS34,0.999
ATG14,VPS38,0.998
ATG16,ATG5,0.999
ATG16,VPS15,0.948
ATG16,VPS30,0.986
ATG16,VPS34,0.954
ATG20,SNC1,0.938
ATG20,SNX4,0.999
ATG32,CKA1,0.929
ATG32,CKA2,0.9
ATG32,CKB1,0.926
ATG32,CKB2,0.9
ATG32,YME1,0.986
ATG5,VPS15,0.952
ATG5,VPS30,0.974
ATG5,VPS34,0.976
ATP1,ATP14,0.999
ATP1,ATP15,0.999
ATP1,ATP16,0.999
ATP1,ATP17,0.999
ATP1,ATP18,0.999
ATP1,ATP19,0.953
ATP1,ATP2,0.999
ATP1,ATP20,0.999
ATP1,ATP3,0.999
ATP1,ATP4,0.999
ATP1,ATP5,0.999
ATP1,ATP6,0.999
ATP1,ATP7,0.999
ATP1,ATP8,0.999
ATP1,COR1,0.972
ATP1,COX4,0.934
ATP1,COX6,0.983
ATP1,CYT1,0.995
ATP1,INH1,0.999
ATP1,KGD1,0.929
ATP1,MRPL9,0.908
ATP1,OLI1,0.999
ATP1,QCR2,0.977
ATP1,QCR7,0.911
ATP1,RIP1,0.906
ATP1,RML2,0.905
ATP1,RPL25,0.974
ATP1,RPL5,0.947
ATP1,RPS15,0.94
ATP1,RPS3,0.974
ATP1,TIM11,0.9
ATP1,VMA1,0.975
ATP1,VMA10,0.919
ATP1,VMA11,0.982
ATP1,VMA13,0.92
ATP1,VMA2,0.986
ATP1,VMA3,0.981
ATP1,VMA4,0.977
ATP1,VMA5,0.945
ATP1,VMA7,0.977
ATP14,ATP15,0.999
ATP14,ATP16,0.999
ATP14,ATP17,0.999
ATP14,ATP18,0.999
ATP14,ATP19,0.927
ATP14,ATP2,0.999
ATP14,ATP20,0.938
ATP14,ATP3,0.999
ATP14,ATP4,0.999
ATP14,ATP5,0.999
ATP14,ATP6,0.999
ATP14,ATP7,0.999
ATP14,ATP8,0.999
ATP14,OLI1,0.999
ATP14,TIM11,0.95
ATP15,ATP16,0.999
ATP15,ATP17,0.976
ATP15,ATP18,0.99
ATP15,ATP19,0.974
ATP15,ATP2,0.999
ATP15,ATP20,0.999
ATP15,ATP3,0.999
ATP15,ATP4,0.999
ATP15,ATP5,0.999
ATP15,ATP6,0.999
ATP15,ATP7,0.999
ATP15,ATP8,0.946
ATP15,COX8,0.92
ATP15,INH1,0.912
ATP15,OLI1,0.999
ATP15,TIM11,0.914
ATP15,VMA1,0.91
ATP15,VMA10,0.932
ATP15,VMA13,0.9
ATP15,VMA2,0.9
ATP15,VMA4,0.937
ATP15,VMA5,0.911
ATP15,VMA7,0.941
ATP16,ATP17,0.991
ATP16,ATP18,0.999
ATP16,ATP19,0.963
ATP16,ATP2,0.999
ATP16,ATP20,0.999
ATP16,ATP3,0.999
ATP16,ATP4,0.999
ATP16,ATP5,0.999
ATP16,ATP6,0.999
ATP16,ATP7,0.999
ATP16,ATP8,0.979
ATP16,COR1,0.918
ATP16,COX4,0.983
ATP16,COX5A,0.945
ATP16,COX6,0.981
ATP16,CYT1,0.993
ATP16,MNP1,0.953
ATP16,MRPL8,0.93
ATP16,OLI1,0.999
ATP16,QCR7,0.93
ATP16,QCR8,0.944
ATP16,RIP1,0.962
ATP16,SDH2,0.907
ATP16,VMA1,0.968
ATP16,VMA10,0.907
ATP16,VMA11,0.973
ATP16,VMA13,0.901
ATP16,VMA2,0.97
ATP16,VMA3,0.972
ATP16,VMA4,0.95
ATP16,VMA5,0.902
ATP16,VMA7,0.976
ATP17,ATP18,0.999
ATP17,ATP19,0.981
ATP17,ATP2,0.999
ATP17,ATP20,0.908
ATP17,ATP3,0.983
ATP17,ATP4,0.999
ATP17,ATP5,0.991
ATP17,ATP6,0.986
ATP17,ATP7,0.999
ATP17,ATP8,0.978
ATP17,OLI1,0.943
ATP17,TIM11,0.92
ATP18,ATP19,0.996
ATP18,ATP2,0.999
ATP18,ATP20,0.954
ATP18,ATP3,0.988
ATP18,ATP4,0.999
ATP18,ATP5,0.993
ATP18,ATP6,0.999
ATP18,ATP7,0.999
ATP18,ATP8,0.999
ATP18,OLI1,0.999
ATP18,TIM11,0.958
ATP19,ATP2,0.965
ATP19,ATP20,0.985
ATP19,ATP3,0.963
ATP19,ATP4,0.985
ATP19,ATP5,0.978
ATP19,ATP6,0.975
