node_A,node_B,score
AAR2,BRR2,0.998
AAR2,DIB1,0.975
AAR2,LIN1,0.992
AAR2,MUD1,0.994
AAR2,PRP18,0.932
AAR2,PRP28,0.987
AAR2,PRP8,0.999
AAR2,SMB1,0.982
AAR2,SMD1,0.964
AAR2,SMD2,0.929
AAR2,SMD3,0.942
AAR2,SME1,0.929
AAR2,SMX2,0.907
AAR2,SMX3,0.964
AAR2,SNU114,0.999
ABF1,ELC1,0.932
ABF1,IFH1,0.978
ABF1,RAD16,0.983
ABF1,RAD2,0.914
ABF1,RAD23,0.914
ABF1,RAD3,0.912
ABF1,RAD4,0.932
ABF1,RAD7,0.979
ABF1,SSL1,0.911
ABF1,SSL2,0.918
ABF1,TFB1,0.904
ACT1,ARC15,0.944
ACT1,ARC18,0.976
ACT1,ARC19,0.957
ACT1,ARC35,0.96
ACT1,ARC40,0.983
ACT1,ARF1,0.92
ACT1,ARP10,0.972
ACT1,ARP2,0.992
ACT1,ARP3,0.994
ACT1,ARP4,0.999
ACT1,ARP5,0.988
ACT1,ARP6,0.978
ACT1,ARP8,0.999
ACT1,BUD6,0.998
ACT1,CCT7,0.908
ACT1,CDC24,0.932
ACT1,CDC28,0.913
ACT1,CDC42,0.989
ACT1,CMD1,0.979
ACT1,CYR1,0.942
ACT1,DYN1,0.912
ACT1,EAF1,0.998
ACT1,EAF3,0.97
ACT1,EAF5,0.996
ACT1,EAF6,0.995
ACT1,EAF7,0.978
ACT1,END3,0.916
ACT1,EPL1,0.999
ACT1,ESA1,0.998
ACT1,EXO70,0.928
ACT1,HHF1,0.97
ACT1,HHF2,0.951
ACT1,HHT1,0.993
ACT1,HHT2,0.99
ACT1,HSC82,0.936
ACT1,HTZ1,0.91
ACT1,IES1,0.989
ACT1,IES3,0.988
ACT1,IES4,0.999
ACT1,INO80,0.999
ACT1,JNM1,0.961
ACT1,NHP10,0.991
ACT1,PAN1,0.948
ACT1,RHO1,0.978
ACT1,RVB1,0.999
ACT1,RVB2,0.999
ACT1,RVS161,0.977
ACT1,RVS167,0.997
ACT1,SAS2,0.94
ACT1,SAS4,0.91
ACT1,SAS5,0.917
ACT1,SLA1,0.927
ACT1,SNF2,0.917
ACT1,SRV2,0.998
ACT1,SWC3,0.98
ACT1,SWC4,0.999
ACT1,SWC5,0.982
ACT1,SWC7,0.979
ACT1,SWR1,0.999
ACT1,TAF14,0.994
ACT1,TCP1,0.95
ACT1,TEF1,0.956
ACT1,TEF2,0.977
ACT1,TRA1,0.994
ACT1,TUB1,0.921
ACT1,TUB2,0.99
ACT1,VPS71,0.99
ACT1,VPS72,0.993
ACT1,YAF9,0.995
ACT1,YNG2,0.995
ADA2,AHC1,0.984
ADA2,CCR4,0.994
ADA2,CHD1,0.956
ADA2,GCN5,0.999
ADA2,HFI1,0.999
ADA2,IOC2,0.902
ADA2,MOT2,0.994
ADA2,NGG1,0.999
ADA2,NOT5,0.994
ADA2,SGF11,0.999
ADA2,SGF29,0.999
ADA2,SGF73,0.998
ADA2,SPT20,0.998
ADA2,SPT3,0.999
ADA2,SPT7,0.999
ADA2,SPT8,0.998
ADA2,SUS1,0.999
ADA2,TAF10,0.999
ADA2,TAF12,0.999
ADA2,TAF5,0.999
ADA2,TAF6,0.999
ADA2,TAF9,0.999
ADA2,TRA1,0.999
ADA2,UBP8,0.999
AFG3,PHB1,0.986
AFG3,PHB2,0.968
AFG3,YTA12,0.999
AHC1,CHD1,0.961
AHC1,GCN5,0.997
AHC1,HFI1,0.936
AHC1,NGG1,0.997
AHC1,SGF11,0.974
AHC1,SGF29,0.992
AHC1,SGF73,0.975
AHC1,SPT20,0.95
AHC1,SPT3,0.927
AHC1,SPT7,0.984
AHC1,SPT8,0.974
AHC1,SUS1,0.946
AHC1,TAF10,0.936
AHC1,TAF12,0.969
AHC1,TAF5,0.965
AHC1,TAF6,0.958
AHC1,TAF9,0.954
AHC1,TRA1,0.963
AHC1,UBP8,0.968
AIR1,AIR2,0.996
AIR1,DIS3,0.926
AIR1,MTR4,0.999
AIR1,PAP1,0.997
AIR1,PAP2,0.999
AIR1,RRP6,0.95
AIR2,DIS3,0.924
AIR2,MTR4,0.999
AIR2,PAP1,0.998
AIR2,PAP2,0.999
AIR2,RRP6,0.956
ALG13,ALG14,0.999
ALG13,STT3,0.909
AME1,CTF19,0.999
AME1,CTF3,0.995
AME1,DSN1,0.976
