node_label,queryItem,stringId,preferredName
CDC20,CDC20,4932.YGL116W,CDC20
CDC23,CDC23,4932.YHR166C,CDC23
CDC24,CDC24,4932.YAL041W,CDC24
CDC26,CDC26,4932.YFR036W,CDC26
CDC27,CDC27,4932.YBL084C,CDC27
CDC28,CDC28,4932.YBR160W,CDC28
CDC33,CDC33,4932.YOL139C,CDC33
CDC34,CDC34,4932.YDR054C,CDC34
CDC36,CDC36,4932.YDL165W,CDC36
CDC39,CDC39,4932.YCR093W,CDC39
CDC4,CDC4,4932.YFL009W,CDC4
CDC42,CDC42,4932.YLR229C,CDC42
CDC48,CDC48,4932.YDL126C,CDC48
CDC53,CDC53,4932.YDL132W,CDC53
CDC55,CDC55,4932.YGL190C,CDC55
CDC7,CDC7,4932.YDL017W,CDC7
CDC73,CDC73,4932.YLR418C,CDC73
CDH1,CDH1,4932.YGL003C,CDH1
CEF1,CEF1,4932.YMR213W,CEF1
CEG1,CEG1,4932.YGL130W,CEG1
CEP3,CEP3,4932.YMR168C,CEP3
CET1,CET1,4932.YPL228W,CET1
CFT1,CFT1,4932.YDR301W,CFT1
CFT2,CFT2,4932.YLR115W,CFT2
CHC1,CHC1,4932.YGL206C,CHC1
CHD1,CHD1,4932.YER164W,CHD1
CHS5,CHS5,4932.YLR330W,CHS5
CHS6,CHS6,4932.YJL099W,CHS6
CHZ1,CHZ1,4932.YER030W,CHZ1
CKA1,CKA1,4932.YIL035C,CKA1
CKA2,CKA2,4932.YOR061W,CKA2
CKB1,CKB1,4932.YGL019W,CKB1
CKB2,CKB2,4932.YOR039W,CKB2
CLB1,CLB1,4932.YGR108W,CLB1
CLB2,CLB2,4932.YPR119W,CLB2
CLB3,CLB3,4932.YDL155W,CLB3
CLB4,CLB4,4932.YLR210W,CLB4
CLB5,CLB5,4932.YPR120C,CLB5
CLB6,CLB6,4932.YGR109C,CLB6
CLC1,CLC1,4932.YGR167W,CLC1
CLF1,CLF1,4932.YLR117C,CLF1
CLN1,CLN1,4932.YMR199W,CLN1
CLN2,CLN2,4932.YPL256C,CLN2
CLN3,CLN3,4932.YAL040C,CLN3
CLP1,CLP1,4932.YOR250C,CLP1
CLU1,CLU1,4932.YMR012W,CLU1
CMD1,CMD1,4932.YBR109C,CMD1
CMP2,CMP2,4932.YML057W,CMP2
CNA1,CNA1,4932.YLR433C,CNA1
CNB1,CNB1,4932.YKL190W,CNB1
CNM67,CNM67,4932.YNL225C,CNM67
COB,COB,4932.Q0105,COB
COG1,COG1,4932.YGL223C,COG1
COG2,COG2,4932.YGR120C,COG2
COG3,COG3,4932.YER157W,COG3
COG4,COG4,4932.YPR105C,COG4
COG5,COG5,4932.YNL051W,COG5
COG6,COG6,4932.YNL041C,COG6
COG7,COG7,4932.YGL005C,COG7
COG8,COG8,4932.YML071C,COG8
COP1,COP1,4932.YDL145C,COP1
COR1,COR1,4932.YBL045C,COR1
COX1,COX1,4932.Q0045,COX1
COX12,COX12,4932.YLR038C,COX12
COX13,COX13,4932.YGL191W,COX13
COX14,COX14,4932.YML129C,COX14
COX2,COX2,4932.Q0250,COX2
COX3,COX3,4932.Q0275,COX3
COX4,COX4,4932.YGL187C,COX4
COX5A,COX5A,4932.YNL052W,COX5A
COX6,COX6,4932.YHR051W,COX6
COX7,COX7,4932.YMR256C,COX7
COX8,COX8,4932.YLR395C,COX8
COX9,COX9,4932.YDL067C,COX9
CPR1,CPR1,4932.YDR155C,CPR1
CSE2,CSE2,4932.YNR010W,CSE2
CSI1,CSI1,4932.YMR025W,CSI1
CSL4,CSL4,4932.YNL232W,CSL4
CSM1,CSM1,4932.YCR086W,CSM1
CSM3,CSM3,4932.YMR048W,CSM3
CSN9,CSN9,4932.YDR179C,CSN9
CTF13,CTF13,4932.YMR094W,CTF13
CTF18,CTF18,4932.YMR078C,CTF18
CTF19,CTF19,4932.YPL018W,CTF19
CTF3,CTF3,4932.YLR381W,CTF3
CTF8,CTF8,4932.YHR191C,CTF8
CTI6,CTI6,4932.YPL181W,CTI6
CTK1,CTK1,4932.YKL139W,CTK1
CTK2,CTK2,4932.YJL006C,CTK2
CTK3,CTK3,4932.YML112W,CTK3
CTR9,CTR9,4932.YOL145C,CTR9
CUL3,CUL3,4932.YGR003W,CUL3
CUS1,CUS1,4932.YMR240C,CUS1
CUS2,CUS2,4932.YNL286W,CUS2
CYC8,CYC8,4932.YBR112C,CYC8
CYR1,CYR1,4932.YJL005W,CYR1
CYT1,CYT1,4932.YOR065W,CYT1
DAD1,DAD1,4932.YDR016C,DAD1
DAD2,DAD2,4932.YKR083C,DAD2
