Gene
ATM
BRCA2
CHEK2
BARD1
BRCA1
CDH1
BRIP1
TP53
CDKN2B
PTEN
RAD51
PIK3CA
ESR1
FGFR2
AKT1
CASP8
CDKN2A
CAV1
PALB2
MAP3K1
GSTM1
MKI67
CTSD
CYP19A1
CYP1A1
CYP1B1
MMP1
RB1CC1
PHB1
VDR
MYC
TGFB1
TNF
IFNG
STAT3
PTHLH
IGFBP3
ESR2
IL1B
IL6
MUC1
NBN
NF2
MSH2
GATA3
AURKA
PRKAA2
IKBKB
KRAS
TCF7L2
PARP1
H19
FOXA1
NFKB1
TWIST1
LHCGR
AR
SOX2
PMS2
SMARCA4
APC
FANCD2
MSH6
GSTP1
CCR5
CTLA4
AGTR1
OGG1
PAK1
SULT1E1
TLR4
ADIPOQ
PRKAA1
BCL2L1
HMMR
APEX1
BIRC2
COMT
ADM
AGT
RELB
RUNX3
CDK1
SOD2
STAT1
TLR2
APOE
CDH13
PSEN2
FAS
AREG
MRE11
CCNB1
BIK
TSG101
LSP1
MMP3
PPM1D
PTK2B
ACE
CDKN1B
TACC2
RASSF1
IL18
MGMT
NOS3
TP73
AXIN2
FANCC
RAD51C
RET
STK11
CDKN2B-AS1
MLH1
ERCC2
NCOA6
MACF1
GSN
GSTT1
HLA-DRB1
COL11A1
KDM5B
BLM
CXCR5
BMP1
TIMELESS
KEAP1
XRCC3
ARID1A
FABP4
GNRH1
HFE
CYP1A2
CYP17A1
MIER3
WIF1
FBXW7
ZMIZ1
MMP8
MYH9
RASAL2
SERPINE2
PON1
CLU
DUSP1
EP300
ERCC1
KDM4B
IFNB1
GPNMB
MAGED2
NF1
ROR1
UGT1A1
PER2
TEK
ENG
FANCA
FN1
GPX1
GRB2
HSD11B1
ATF2
DDX3X
HDAC4
PTPN13
ROS1
ADIPOR1
XBP1
PDCD4
GLI1
CRYAA
CDKN2C
RPS6KA3
NOS2
XDH
ADAM12
INHBE
BCAR1
SULT1A1
MUTYH
RAD50
POLD1
RAD51D
MMP10
MSI1
KAT6B
SGK3
CYP2C19
ADAR
KDM3A
FANCM
ANKRD30A
PER1
VWF
XRCC2
NOD2
BCL11A
RECQL
CASP7
CYB5R3
EDNRA
CCND2
TNS1
PPP2R2B
RAD54L
CBX7
PTPRC
NEDD4
SHMT1
ABRAXAS1
WRAP53
RECQL4
TSHR
SIK3
ZFYVE26
PRDX5
IRF8
CUX1
AKAP9
BCAS2
P3H2
RNF20
F10
GOLIM4
HLA-DQA1
IFNA2
KRT81
MAGEA1
CLCA2
ARHGAP11A
G3BP2
ECT2
EIF4A2
FAAH
ACSL3
NET1
SLC67A1
CDC27
SORL1
WRN
SNW1
KDM4C
GAB1
CRX
ADRA1A
SRARP
TMPRSS6
EIF3H
EBAG9
SULF2
LTA
POU2F1
F5
IL13RA2
KTN1
NQO2
PFKFB4
MTMR3
RECQL5
SLAMF1
SLX4
BMPR1A
EXT1
FH
FANCI
EREG
ERCC6
ABCA3
FOLR2
ZNF281
UTP20
APCS
FOXP4
DVL3
SEMA3A
EIF3M
NTHL1
PLS3
NLE1
BGN
STAT4
DDX18
PRP4K
CD2
PDLIM7
KLK15
RAC2
RPS9
SMC6
MFAP5
RASAL1
ERCC3
SPEN
PLCB1
ABCB10
TRIM29
CHD5
APPL1
GPC1
OLA1
PDCD6
AKAP8
SPTLC1
MCOLN1
ROBO1
MAOA
APOL1
CBFB
ARHGAP29
UBR5
PLOD1
PLXNB1
ZNF668
SRSF1
MICAL1
TBXAS1
ICAM5
TOP1
AGAP2
FLNB
FUS
GABRP
FBXO8
HDLBP
APC2
SORBS1
CFL2
SLCO2B1
ATP2A3
PLD2
AVPR2
GSDMB
PRODH
RARG
SPAG6
SREBF2
TCP1
TPM4
TRPC4
WARS1
NUP214
CLPTM1L
OBSCN
NLRC5
AMFR
NSMCE2
KCNIP3
ACADM
FCRL3
DNASE1L3
SLC7A7
CLSPN
ARAP3
TNFAIP3
ARID1B
RFC4
GEN1
LGALS2
MYOD1
PCDH8
KRT76
PADI3
PLA2G4A
PPA1
PPP1R3A
RIF1
SLC35A2
SUV39H2
SUSD3
ADHFE1
CSNK1D
DDX10
ADAM28
POP1
RINT1
ITGA9
ASL
MAGEC2
HDAC7
SIX4
SMOX
MCPH1
FXR1
TCF7L1
ATRIP
PPM1F
CLIP1
RAPH1
PAH
THBS3
PIGS
XPO5
MANF
ALOX5AP
MOSPD1
ASTN2
CDH10
ATP8B1
ARHGEF38
AOPEP
POLE
LZTR1
SLC39A12
ADGRF4
PPM1E
ZNF318
GABRA4
TRMT2A
GRIK2
SP110
APOC4
KCNA5
LAMA2
ARFRP1
ACO2
HSPA14
CPSF3
TREM1
FNDC3B
SLC6A3
BOC
RANBP1
EHMT1
NAA25
ZNF541
EIF5
MCF2L2
NPBWR1
ABCB6
PACC1
DHX32
PCDHB15
EPG5
YY2
MAGEA4
MAP3K6
TP53I3
OCA2
CFP
OXSM
B3GALNT2
ENPEP
SIPA1L1
GRIK3
HOXA4
SH2D3A
TMED1
POLH
UGT1A9
ZFP64
PANX2
KCNJ15
SCARF2
RRP9
LRBA
BCORL1
TTC3
ZNF644
DIP2C
SYNE2
TREML1
AQP8
FAM83F
TEKT4
DPAGT1
TENM1
SRGAP3
DLEC1
WNK1
PTPN14
OSTC
RAP1GAP
RASGRF2
SHROOM2
KPNA5
MYH1
NRCAM
ARHGEF4
PRRC2A
HSD17B8
NIPBL
ARFGAP3
CAVIN1
RNF149
HELQ
DNAJC24
TICAM1
RPRD1A
RHD
CUBN
ZNF436
NOA1
RASL10B
STARD8
C1QB
C11orf65
SCNN1B
ABCA4
THOC5
FANCB
LOC126862571
LOC129390903
LOC130062899
LOC129933707
LOC130009266
LOC106736614
LOC111589215
TSHR-AS1
RAD51L3-RFFL
LOC107303338
GPC2
DOP1A
RGL1
IL1RAPL2
CNNM4
OTOGL
PIK3R4
H2AC21
NLRP9
KRTAP10-8
AFF1
SLC22A9
CNGA2
C1orf87
AHSA2P
COL19A1
ZNF569
DGKG
PKDREJ
ARFGEF2
GALNT5
NDUFA2
NHS
SMARCAL1
TAS2R13
CUTC
ANAPC5
PHF7
SEMA5B
ZDHHC4
ANKEF1
FAM217B
SKIC2
STX5
TESK1
TPTE
MICALL1
TAX1BP1
LRRFIP1
ZNF432
ELAPOR1
ZNHIT2
TXNDC15
RUFY1
OR12D3
FSCB
SYT3
TMTC4
DGKE
KIF6
FKTN
BEND7
MAP7D2
CATSPERE
BOD1L1
GOLGB1
JAKMIP3
UTS2R
GRIN2D
GRM6
HADHB
KRTAP21-1
ADAT3
CHRND
OSBPL11
NLRP8
COL7A1
MPLKIP
UNC45B
ANKRD29
DTX3L
MAMDC4
XIRP1
CLASRP
ZNF277
WBP4
UQCC1
STRBP
SLC17A6
WFDC1
RFX2
C5orf34
C4orf50
GFRAL
AP1M1
STPG1
LMF2
MED14
ZNF646
NDUFA8
INPP5K
TMEM161A
MAGOHB
DYSF
ACCS
SCP2
RUSF1
SURF1
TSPAN4
SORCS1
CLCN1
EFCAB13
FAM210A
WDR88
TMEM125
RTP1
DNAJC21
OR1N1
ABHD12B
USP54
NOP9
DAW1
GIMAP1
ZNF25
ZNF438
PXDC1
NID2
FRMPD1
TBC1D9B
COLGALT2
EHBP1
CDH20
ANK1
ANK2
GTF2A1
GUCY2F
HK3
HOXA3
ZNF546
CDS1
TRAPPC12
NME8
HOOK1
PNLIPRP1
SBNO1
N4BP2
MAGEE1
WDR53
CEP85L
SSNA1
KALRN
SPOCD1
TRMT10A
AKAP6
ACY1
PCDH20
VPS72
TECTA
ZNF75A
FASTKD3
LONRF3
WDCP
FCRL5
H4C1
TFAP2D
HOOK3
SLC67A2
ZCCHC14
STX12
G6PC1
HEATR9
TOR1AIP1
PGBD3
PURG
KRTAP20-1
TRIML1
KCNT2
SCGB3A2
CST4
VPS13B
DMD
FARP1
ENTREP3
ABCB8
GPR45
INA
SLC25A51
OTOF
CTIF
SLC8A3
SLC9A2
SPAST
ZNF532
NUP133
GKN1
PRRG1
LRRC7
MROH7
KCNJ1
MIA2
NFYC
PHKB
ATP6V0B
GNB1L
ZNF22
PRRT1
TSC22D4
EOMES
COG3
KBTBD8
DDO
CELA1
TRAPPC8
CIC
GGA3
UBR4
HEPACAM2
ALS2CL
GGA1
DAZAP1
CNTN6
EXOC3L1
NLRP14
FAM131A
GPR180
DBN1
ADAMTS19
DNAH9
TMEM39A
MTMR8
KIF16B
PRPS1
FEM1C
PDZD4
SPATA21
LIPE
PRICKLE3
NDUFA3
NUP98
CYB5R4
NIP7
PPHLN1
POLR2F
MANEA
ZBTB3
CFHR5
DDX59
LZTS2
PLEKHA8
SLC6A5
ACAP1
RCE1
SPTAN1
TLL1
