queryItem,stringId,ncbiTaxonId,preferredName,resolvedQuery,mappingSource,mappingPriority,node_label
AVO1,4932.YOL078W,4932,AVO1,AVO1,direct_string,1,AVO1
AVO2,4932.YMR068W,4932,AVO2,AVO2,direct_string,1,AVO2
BBP1,4932.YPL255W,4932,BBP1,BBP1,direct_string,1,BBP1
BCH1,4932.YMR237W,4932,BCH1,BCH1,direct_string,1,BCH1
BCH2,4932.YKR027W,4932,BCH2,BCH2,direct_string,1,BCH2
BCY1,4932.YIL033C,4932,BCY1,BCY1,direct_string,1,BCY1
BDP1,4932.YNL039W,4932,BDP1,BDP1,direct_string,1,BDP1
BET2,4932.YPR176C,4932,BET2,BET2,direct_string,1,BET2
BET3,4932.YKR068C,4932,BET3,BET3,direct_string,1,BET3
BET4,4932.YJL031C,4932,BET4,BET4,direct_string,1,BET4
BET5,4932.YML077W,4932,BET5,BET5,direct_string,1,BET5
BFA1,4932.YJR053W,4932,BFA1,BFA1,direct_string,1,BFA1
BI3,4932.Q0115,4932,BI3,BI3,direct_string,1,BI3
BI4,4932.Q0120,4932,BI4,BI4,direct_string,1,BI4
BIR1,4932.YJR089W,4932,BIR1,BIR1,direct_string,1,BIR1
BIT61,4932.YJL058C,4932,BIT61,BIT61,direct_string,1,BIT61
BNI4,4932.YNL233W,4932,BNI4,BNI4,direct_string,1,BNI4
BRE1,4932.YDL074C,4932,BRE1,BRE1,direct_string,1,BRE1
BRE2,4932.YLR015W,4932,BRE2,BRE2,direct_string,1,BRE2
BRE5,4932.YNR051C,4932,BRE5,BRE5,direct_string,1,BRE5
BRF1,4932.YGR246C,4932,BRF1,BRF1,direct_string,1,BRF1
BRN1,4932.YBL097W,4932,BRN1,BRN1,direct_string,1,BRN1
BRR2,4932.YER172C,4932,BRR2,BRR2,direct_string,1,BRR2
BTT1,4932.YDR252W,4932,BTT1,BTT1,direct_string,1,BTT1
BUB1,4932.YGR188C,4932,BUB1,BUB1,direct_string,1,BUB1
BUB2,4932.YMR055C,4932,BUB2,BUB2,direct_string,1,BUB2
BUB3,4932.YOR026W,4932,BUB3,BUB3,direct_string,1,BUB3
BUD13,4932.YGL174W,4932,BUD13,BUD13,direct_string,1,BUD13
BUD14,4932.YAR014C,4932,BUD14,BUD14,direct_string,1,BUD14
BUD32,4932.YGR262C,4932,BUD32,BUD32,direct_string,1,BUD32
BUD6,4932.YLR319C,4932,BUD6,BUD6,direct_string,1,BUD6
BUD7,4932.YOR299W,4932,BUD7,BUD7,direct_string,1,BUD7
BUG1,4932.YDL099W,4932,BUG1,BUG1,direct_string,1,BUG1
BUL1,4932.YMR275C,4932,BUL1,BUL1,direct_string,1,BUL1
BUL2,4932.YML111W,4932,BUL2,BUL2,direct_string,1,BUL2
BUR2,4932.YLR226W,4932,BUR2,BUR2,direct_string,1,BUR2
BUR6,4932.YER159C,4932,BUR6,BUR6,direct_string,1,BUR6
CAC2,4932.YML102W,4932,CAC2,CAC2,direct_string,1,CAC2
CAF130,4932.YGR134W,4932,CAF130,CAF130,direct_string,1,CAF130
CAF40,4932.YNL288W,4932,CAF40,CAF40,direct_string,1,CAF40
CAM1,4932.YPL048W,4932,CAM1,CAM1,direct_string,1,CAM1
CAR1,4932.YPL111W,4932,CAR1,CAR1,direct_string,1,CAR1
CBC2,4932.YPL178W,4932,CBC2,CBC2,direct_string,1,CBC2
CBF1,4932.YJR060W,4932,CBF1,CBF1,direct_string,1,CBF1
CBF2,4932.YGR140W,4932,CBF2,CBF2,direct_string,1,CBF2
CBK1,4932.YNL161W,4932,CBK1,CBK1,direct_string,1,CBK1
CBP1,4932.YJL209W,4932,CBP1,CBP1,direct_string,1,CBP1
CCL1,4932.YPR025C,4932,CCL1,CCL1,direct_string,1,CCL1
CCR4,4932.YAL021C,4932,CCR4,CCR4,direct_string,1,CCR4
CCS1,4932.YMR038C,4932,CCS1,CCS1,direct_string,1,CCS1
CCT2,4932.YIL142W,4932,CCT2,CCT2,direct_string,1,CCT2
CCT3,4932.YJL014W,4932,CCT3,CCT3,direct_string,1,CCT3
CCT4,4932.YDL143W,4932,CCT4,CCT4,direct_string,1,CCT4
CCT5,4932.YJR064W,4932,CCT5,CCT5,direct_string,1,CCT5
CCT6,4932.YDR188W,4932,CCT6,CCT6,direct_string,1,CCT6
CCT7,4932.YJL111W,4932,CCT7,CCT7,direct_string,1,CCT7
CCT8,4932.YJL008C,4932,CCT8,CCT8,direct_string,1,CCT8
CCZ1,4932.YBR131W,4932,CCZ1,CCZ1,direct_string,1,CCZ1
CDC14,4932.YFR028C,4932,CDC14,CDC14,direct_string,1,CDC14
CDC16,4932.YKL022C,4932,CDC16,CDC16,direct_string,1,CDC16
CDC20,4932.YGL116W,4932,CDC20,CDC20,direct_string,1,CDC20
CDC23,4932.YHR166C,4932,CDC23,CDC23,direct_string,1,CDC23
CDC24,4932.YAL041W,4932,CDC24,CDC24,direct_string,1,CDC24
CDC26,4932.YFR036W,4932,CDC26,CDC26,direct_string,1,CDC26
CDC27,4932.YBL084C,4932,CDC27,CDC27,direct_string,1,CDC27
CDC28,4932.YBR160W,4932,CDC28,CDC28,direct_string,1,CDC28
CDC33,4932.YOL139C,4932,CDC33,CDC33,direct_string,1,CDC33
CDC34,4932.YDR054C,4932,CDC34,CDC34,direct_string,1,CDC34
CDC36,4932.YDL165W,4932,CDC36,CDC36,direct_string,1,CDC36
CDC39,4932.YCR093W,4932,CDC39,CDC39,direct_string,1,CDC39
CDC4,4932.YFL009W,4932,CDC4,CDC4,direct_string,1,CDC4
CDC42,4932.YLR229C,4932,CDC42,CDC42,direct_string,1,CDC42
CDC43,4932.YGL155W,4932,CDC43,CDC43,direct_string,1,CDC43
CDC48,4932.YDL126C,4932,CDC48,CDC48,direct_string,1,CDC48
CDC53,4932.YDL132W,4932,CDC53,CDC53,direct_string,1,CDC53
CDC55,4932.YGL190C,4932,CDC55,CDC55,direct_string,1,CDC55
CDC7,4932.YDL017W,4932,CDC7,CDC7,direct_string,1,CDC7
CDC73,4932.YLR418C,4932,CDC73,CDC73,direct_string,1,CDC73
CDH1,4932.YGL003C,4932,CDH1,CDH1,direct_string,1,CDH1
CEF1,4932.YMR213W,4932,CEF1,CEF1,direct_string,1,CEF1
CEG1,4932.YGL130W,4932,CEG1,CEG1,direct_string,1,CEG1
CEP3,4932.YMR168C,4932,CEP3,CEP3,direct_string,1,CEP3
CET1,4932.YPL228W,4932,CET1,CET1,direct_string,1,CET1
CFT1,4932.YDR301W,4932,CFT1,CFT1,direct_string,1,CFT1
CFT2,4932.YLR115W,4932,CFT2,CFT2,direct_string,1,CFT2
CGI121,4932.YML036W,4932,CGI121,CGI121,direct_string,1,CGI121
CHC1,4932.YGL206C,4932,CHC1,CHC1,direct_string,1,CHC1
CHD1,4932.YER164W,4932,CHD1,CHD1,direct_string,1,CHD1
